epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9632,1.87216,2.22145,1.08058,0.45492,0.33054,0.31691,0.16125,1.81632,1.94712,1.0867,0.000552679,0.000552679,0.000552679
2,49.9016,1.84657,1.60128,1.08446,0.52613,0.35182,0.36772,0.18662,1.85225,1.43573,1.10191,0.0010864,0.0010864,0.0010864
3,72.6394,1.83776,1.43837,1.08943,0.57317,0.31966,0.34901,0.17064,1.86749,1.69033,1.12338,0.00159812,0.00159812,0.00159812
4,95.5516,1.8467,1.34835,1.0872,0.58974,0.35675,0.3961,0.19599,1.84763,1.58115,1.08564,0.00156798,0.00156798,0.00156798
5,118.363,1.79556,1.27785,1.07374,0.60249,0.35046,0.38902,0.19386,1.83839,1.425,1.09718,0.00153497,0.00153497,0.00153497
6,142.113,1.7804,1.2608,1.06496,0.60262,0.37422,0.42871,0.21884,1.76322,1.32734,1.07534,0.00150197,0.00150197,0.00150197
7,165.04,1.76289,1.22344,1.06168,0.6209,0.37272,0.42595,0.21836,1.73865,1.33201,1.06864,0.00146896,0.00146896,0.00146896
8,187.817,1.73585,1.20149,1.06063,0.58998,0.38471,0.43652,0.23013,1.73728,1.27852,1.0605,0.00143595,0.00143595,0.00143595
9,210.302,1.72014,1.1747,1.05092,0.63822,0.37919,0.43792,0.23006,1.74261,1.2364,1.05725,0.00140295,0.00140295,0.00140295
10,232.77,1.71372,1.16455,1.04121,0.65588,0.38705,0.4484,0.23914,1.7157,1.24329,1.05388,0.00136994,0.00136994,0.00136994
11,255.015,1.69863,1.15627,1.03999,0.62699,0.38899,0.4411,0.22494,1.78014,1.26029,1.07434,0.00133693,0.00133693,0.00133693
12,277.264,1.6809,1.12945,1.038,0.61521,0.3975,0.4426,0.23235,1.69379,1.22582,1.04851,0.00130393,0.00130393,0.00130393
13,300.141,1.67814,1.12303,1.02885,0.62148,0.41171,0.46045,0.24813,1.69716,1.18887,1.0465,0.00127092,0.00127092,0.00127092
14,323.079,1.65952,1.09765,1.02823,0.63233,0.41318,0.4721,0.25016,1.67995,1.14402,1.04715,0.00123791,0.00123791,0.00123791
15,345.923,1.66367,1.10514,1.02918,0.66839,0.41076,0.46975,0.24905,1.66821,1.16676,1.04305,0.00120491,0.00120491,0.00120491
16,368.433,1.64435,1.08033,1.01421,0.6545,0.40417,0.46623,0.2441,1.68705,1.13956,1.04828,0.0011719,0.0011719,0.0011719
17,391.135,1.63382,1.07129,1.0123,0.68188,0.40287,0.4778,0.24887,1.67051,1.14173,1.0443,0.00113889,0.00113889,0.00113889
18,413.618,1.63052,1.06554,1.01757,0.69737,0.40274,0.48543,0.26061,1.64019,1.14172,1.03768,0.00110589,0.00110589,0.00110589
19,436.213,1.60531,1.06083,1.00836,0.66639,0.39518,0.46885,0.25364,1.621,1.15666,1.03191,0.00107288,0.00107288,0.00107288
20,458.423,1.60324,1.04303,1.01045,0.66499,0.42102,0.48997,0.2655,1.63992,1.12813,1.02489,0.00103987,0.00103987,0.00103987
21,481.084,1.60197,1.0445,1.00814,0.65755,0.4136,0.4829,0.26313,1.61923,1.13322,1.02642,0.00100687,0.00100687,0.00100687
22,504.112,1.58925,1.04094,1.00907,0.71629,0.41329,0.49573,0.26991,1.60741,1.09318,1.03048,0.000973861,0.000973861,0.000973861
23,527.02,1.59441,1.03091,1.00971,0.66179,0.44552,0.51149,0.27825,1.58953,1.07028,1.0228,0.000940855,0.000940855,0.000940855
24,549.683,1.5702,1.01443,0.99525,0.67562,0.40564,0.48203,0.26132,1.64998,1.11412,1.03014,0.000907848,0.000907848,0.000907848
25,573.091,1.5651,1.01313,0.99416,0.66433,0.41716,0.48706,0.26693,1.60757,1.09713,1.01858,0.000874842,0.000874842,0.000874842
26,596.782,1.56967,1.01049,0.99536,0.67241,0.42824,0.50102,0.27772,1.5843,1.06084,1.02191,0.000841835,0.000841835,0.000841835
27,620.528,1.5599,0.99612,0.99049,0.67035,0.43564,0.50091,0.27534,1.58795,1.10898,1.02028,0.000808828,0.000808828,0.000808828
28,644.589,1.56832,1.00323,0.99186,0.67606,0.43227,0.50412,0.2779,1.58008,1.07315,1.01204,0.000775822,0.000775822,0.000775822
29,668.348,1.5468,0.99004,0.99108,0.68092,0.42372,0.50358,0.27812,1.57855,1.06316,1.02083,0.000742815,0.000742815,0.000742815
30,691.662,1.54443,0.98662,0.98621,0.68696,0.42821,0.50621,0.28042,1.56826,1.06396,1.01018,0.000709809,0.000709809,0.000709809
31,715.682,1.55546,0.98335,0.98525,0.70152,0.4323,0.51033,0.27985,1.60011,1.05579,1.01806,0.000676802,0.000676802,0.000676802
32,739.268,1.53577,0.97358,0.98678,0.69968,0.44028,0.51773,0.28803,1.56701,1.03365,1.00782,0.000643795,0.000643795,0.000643795
33,763.055,1.51109,0.96512,0.98018,0.71387,0.43317,0.5146,0.28294,1.57049,1.04521,1.00733,0.000610789,0.000610789,0.000610789
34,787.58,1.50791,0.94846,0.97891,0.66786,0.44208,0.51594,0.28554,1.55631,1.02302,1.01063,0.000577782,0.000577782,0.000577782
35,811.944,1.50838,0.94799,0.97988,0.68167,0.4458,0.51812,0.2894,1.56759,1.03499,1.01057,0.000544776,0.000544776,0.000544776
36,835.74,1.49605,0.93892,0.97464,0.6615,0.44509,0.50768,0.28316,1.55904,1.04465,1.01196,0.000511769,0.000511769,0.000511769
37,859.942,1.51174,0.94541,0.97965,0.67885,0.45342,0.52284,0.29398,1.55468,1.02979,1.00728,0.000478762,0.000478762,0.000478762
38,883.611,1.48184,0.9236,0.97388,0.69763,0.45108,0.52185,0.28965,1.55349,1.01676,1.00385,0.000445756,0.000445756,0.000445756
